June 2018 Tejon Seedling Counts,,,,1 = All Excluded    2 = Cows Excluded   3 = Control,,,,,,,,,,,,,,
"Carina Motta, Devyn Orr",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Location,Year,Month,Site,Block,Plot,Transect,# seedlings,# after 1st yr,# old seedlings,dead,clump,alive dess,dead dess,herb above,herb below,notes ,,Total_Alive and dead
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,3,,,1,,,,,,,
Tejon,2018,June,Mesic,1,2,3,2,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,2,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,3,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,3,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,3,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,2,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,2,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,2,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,1,1,,,1,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,2,,,,,,1,,,,
Tejon,2018,June,Mesic,1,2,3,,7,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,5,,,,,,,,,,
Tejon,2018,June,Mesic,1,2,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,1,,1,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,1,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,3,1,2,,,,1,,,1,,,,
Tejon,2018,June,Mesic,1,3,1,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,1,2,,,,1,,,2,,,,
Tejon,2018,June,Mesic,1,3,1,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,1,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,1,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,2,1,,,,,,,1,,,,
Tejon,2018,June,Mesic,1,3,3,,2,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,,2,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,,1,,,,,,,,,,
Tejon,2018,June,Mesic,1,3,3,,1,,,,,,,,,,
Tejon,2018,June,Intermediate,2,1,1,17,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,1,1,2,,,2,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,1,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,8,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,1,,,1,,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,2,,,2,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,2,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,63,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,1,,,1,,,1,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,4,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,16,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,on edge of burrow,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,6,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,7,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,4,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,11,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,8,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,7,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,4,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,4,,,,1,,,4,,,,
Tejon,2018,June,Intermediate,2,1,3,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,1,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,4,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,1,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,1,8,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,2,1,2,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,2,1,2,,,2,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,1,2,,,,1,,,2,,,,
Tejon,2018,June,Intermediate,2,2,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,1,4,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,2,4,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,34,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,1,,,,,,,1,,,,
Tejon,2018,June,Intermediate,2,2,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,4,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,2,3,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,3,1,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,2,3,1,2,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,3,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,3,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,3,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,3,2,0,,,,,,,,,,,
Tejon,2018,June,Intermediate,2,3,3,1,,,,,,,1,,,,
Tejon,2018,June,Arid,3,3,1,2,,,1,1,,,,,,,
Tejon,2018,June,Arid,3,3,1,1,,,1,,,,,,,,
Tejon,2018,June,Arid,3,3,1,1,,,1,,,,,,near gopher hole,,
Tejon,2018,June,Arid,3,3,1,1,,,1,,,,,,,,
Tejon,2018,June,Arid,3,3,1,2,,,2,,,,,,,,
Tejon,2018,June,Arid,3,3,1,2,,,1,1,,,,,,,
Tejon,2018,June,Arid,3,3,1,2,,,,,,,2,,,,
Tejon,2018,June,Arid,3,3,1,1,,,,,,,1,,,,
Tejon,2018,June,Arid,3,3,2,1,,,1,,,,,,near gopher hole,,
Tejon,2018,June,Arid,3,3,2,2,,,1,,2,,,,,,
Tejon,2018,June,Arid,3,3,2,1,,,1,,,,,,,,
Tejon,2018,June,Arid,3,3,2,2,,,,1,,,,,,,
Tejon,2018,June,Arid,3,3,2,1,,,,,,,,,,,
Tejon,2018,June,Arid,3,3,3,2,,,2,1,,2,,,,,
Tejon,2018,June,Arid,3,3,3,2,,,2,1,,2,,,,,
Tejon,2018,June,Arid,3,3,3,1,,,1,,,,,1,,,
Tejon,2018,June,Arid,3,3,3,2,,,2,1,,,,2,,,
Tejon,2018,June,Arid,3,3,3,2,,,2,,,2,,,,,
Tejon,2018,June,Arid,3,3,3,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,1,1,1,,,1,,,,,1,,,
Tejon,2018,June,Arid,3,1,1,3,,,3,1,,,,3,,,
Tejon,2018,June,Arid,3,1,2,1,,,1,,,1,,,,,
Tejon,2018,June,Arid,3,1,3,2,,,2,1,,2,,,,,
Tejon,2018,June,Arid,3,1,3,1,,,1,,,,,1,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,1,,,1,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,1,,,1,,,,,
Tejon,2018,June,Arid,3,2,1,8,,,7,1,,,,,,,
Tejon,2018,June,Arid,3,2,1,3,,,3,1,,,,,,,
Tejon,2018,June,Arid,3,2,1,6,,,,,6,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,,1,2,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,,1,2,,,,,,
Tejon,2018,June,Arid,3,2,1,3,,,,1,3,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,,1,2,,,,,,
Tejon,2018,June,Arid,3,2,1,5,,,,,5,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,2,,,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,3,,,1,1,1,,,,,,
Tejon,2018,June,Arid,3,2,1,5,,,5,,,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,2,,,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,,,2,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,8,,,,,8,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,1,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,1,,,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,1,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,3,,,2,,,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,,,2,,,,,,
Tejon,2018,June,Arid,3,2,1,4,,,4,,,,,,,,
Tejon,2018,June,Arid,3,2,1,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,1,2,,,,,2,,,,,,
Tejon,2018,June,Arid,3,2,2,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,2,1,,,1,,,,,1,,,
Tejon,2018,June,Arid,3,2,2,2,,,2,1,,,,,,,
Tejon,2018,June,Arid,3,2,2,2,,,2,1,,,,,,,
Tejon,2018,June,Arid,3,2,2,1,,,1,,,,,1,,,
Tejon,2018,June,Arid,3,2,2,2,,,2,1,,,,,,,
Tejon,2018,June,Arid,3,2,3,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,3,6,,,3,,1,,,2,,,
Tejon,2018,June,Arid,3,2,3,2,,,1,1,,,,,,,
Tejon,2018,June,Arid,3,2,3,9,,,4,1,,,,,,,
Tejon,2018,June,Arid,3,2,3,3,,,2,,,,,,,,
Tejon,2018,June,Arid,3,2,3,3,,,1,,,,,1,,,
Tejon,2018,June,Arid,3,2,3,3,,,,,,,,,,,
Tejon,2018,June,Arid,3,2,3,3,,,1,,,,,,,,
Tejon,2018,June,Arid,3,2,3,2,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,3,2,,,2,,,,,,,,
Tejon,2018,June,Arid,3,2,3,1,,,,,1,,,,,,
Tejon,2018,June,Arid,3,2,3,2,,,,1,2,,,,,,
Tejon,2018,June,Arid,3,2,3,2,,,2,,,,,,,,
Tejon,2018,June,Arid,3,2,3,1,,,,,,,1,,,,
Tejon,2018,June,Arid,2,1,1,2,,,2,,,,,,,,
Tejon,2018,June,Arid,2,1,1,1,,,1,,,,,,,,
Tejon,2018,June,Arid,2,1,1,1,,,1,,,,,,,,
Tejon,2018,June,Arid,2,1,1,2,,,2,1,,,,,,,
Tejon,2018,June,Arid,2,1,1,2,,,2,1,,,,,,,
Tejon,2018,June,Arid,2,1,1,3,,,3,1,,,,,,,
Tejon,2018,June,Arid,2,1,1,4,,,4,1,,,,,,,
Tejon,2018,June,Arid,2,1,1,2,,,2,1,,,,,,,
Tejon,2018,June,Arid,2,1,1,2,,,2,1,,,,,,,
Tejon,2018,June,Arid,2,1,1,4,,,4,1,,,,,,,
Tejon,2018,June,Arid,2,1,1,3,,,3,,,,,,,,
Tejon,2018,June,Arid,2,1,1,2,,,2,1,,,,,,,
Tejon,2018,June,Arid,2,1,2,3,,,3,1,,,,,,,
Tejon,2018,June,Arid,2,1,2,1,,,1,,,,,1,,,
Tejon,2018,June,Arid,2,1,2,1,,,1,,,,,1,,,
Tejon,2018,June,Arid,2,1,2,6,,,6,,,,,6,,,
Tejon,2018,June,Arid,2,1,2,2,,,2,,,,,2,,,
Tejon,2018,June,Arid,2,1,2,1,,,1,,,1,,,,,
Tejon,2018,June,Arid,2,1,2,2,,,2,,,2,,,,,
Tejon,2018,June,Arid,2,1,3,1,,,1,,,1,,,,,
Tejon,2018,June,Arid,2,1,3,1,,,1,,,,,1,,,
Tejon,2018,June,Arid,2,1,3,3,,,3,1,,,,,,,
Tejon,2018,June,Arid,2,1,3,1,,,1,,,,,,,,
Tejon,2018,June,Arid,2,1,3,2,,,2,,,,,,,,
Tejon,2018,June,Arid,2,1,3,1,,,1,,,,,1,,,
Tejon,2018,June,Arid,2,1,3,1,,,1,,,1,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,1,1,,,1,,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,3,,,,1,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,2,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,5,,,,1,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,1,2,2,3,,,,1,,,,,,,
